journey_id,user,name,trigger,goal,wave,services,frequency,criticality
JRN-FAT-01,الأب,التسجيل وإنشاء العائلة,حمّل التطبيق أول مرة,حساب جاهز وعائلة منشأة,1,S-ADM-001;S-ADM-002;S-ADM-008,مرة واحدة,حرجة
JRN-FAT-02,الأب,ربط جهاز الابن الأول,أراد بدء المراقبة,جهاز متصل وقيمة أولى ظاهرة,1,S-ADM-003;S-ADM-004;S-ADM-014;S-ADM-005,مرة لكل ابن,حرجة
JRN-FAT-03,الأب,تجربة التطبيق قبل الربط,ابنه غير موجود الآن,رأى القيمة ببيانات تجريبية,1,S-ADM-006;S-ADM-007,مرة واحدة,حرجة
JRN-FAT-04,الأب,دعوة الأم وتحديد صلاحيتها,أراد إشراك زوجته,الأم عضو بمستوى صلاحية يحدده الأب,1,S-ADM-009;S-ADM-010;S-ADM-011,مرة واحدة,عالية
JRN-FAT-05,الأب,نظرة الصباح على العائلة,فتح التطبيق صباحًا,فهم حال الجميع في 5 ثوانٍ,1,S-ADM-036;S-ADM-038;S-ADM-037;S-ADM-039,يومية,حرجة
JRN-FAT-06,الأب,متابعة ابن بعينه,أراد تفاصيل خالد,صورة كاملة عن ابن واحد,1,S-ADM-038;S-SEC-019;S-SEC-025;S-AIC-003,يومية,حرجة
JRN-FAT-07,الأب,معرفة موقع ابنه الآن,سأل أين هو,موقع لحظي على الخريطة,1,S-SEC-019;S-SEC-020;S-SEC-025,يومية,حرجة
JRN-FAT-08,الأب,ضبط منطقة آمنة,أراد تنبيهًا عند المدرسة,منطقة محفوظة بتنبيهات,1,S-SEC-021;S-SEC-022;S-SEC-024,أسبوعية,عالية
JRN-FAT-09,الأب,استقبال بلاغ استغاثة,ابنه ضغط زر الاستغاثة,وصل للابن أو طمأن عليه,1,S-SEC-026;S-SEC-027;S-SEC-028;S-SEC-030,نادرة,حرجة قصوى
JRN-FAT-10,الأب,استقبال تنبيه أمني,العقل رصد خطرًا,فهم التنبيه وقرر,1,S-AIC-002;S-AIC-003;S-AIC-006;S-AIC-001,أسبوعية,حرجة
JRN-FAT-11,الأب,محادثة العائلة,أراد التواصل,رسالة وصلت وقُرئت,1,S-COM-001;S-COM-002;S-COM-004;S-COM-005;S-COM-006;S-COM-007,يومية,حرجة
JRN-FAT-12,الأب,مكالمة بابنه,أراد سماع صوته,مكالمة ناجحة,1,S-COM-010;S-COM-011;S-COM-013;S-COM-014,يومية,حرجة
JRN-FAT-13,الأب,إدارة أجهزة العائلة,أراد مراجعة الأجهزة,أجهزة سليمة ومعروفة الحالة,1,S-ADM-015;S-ADM-016;S-ADM-017;S-ADM-018,شهرية,عالية
JRN-FAT-14,الأب,معالجة انقطاع جهاز,جهاز ابنه توقف,عاد الاتصال أو عرف السبب,1,S-ADM-016;S-ADM-017,شهرية,حرجة
JRN-MOT-01,الأم,الانضمام بدعوة الأب,وصلتها دعوة من الأب بمستوى صلاحية محدد,صارت عضوًا بالمستوى الذي حدده الأب,1,S-ADM-011;S-ADM-010,مرة واحدة,حرجة
JRN-MOT-02,الأم,نظرة الصباح,فتحت التطبيق,عرفت حال أبنائها,1,S-ADM-036;S-ADM-038;S-ADM-037,يومية,حرجة
JRN-MOT-03,الأم,متابعة ابن بعينه,أرادت تفاصيل,صورة كاملة عن ابن,1,S-ADM-038;S-SEC-019;S-AIC-003,يومية,عالية
