screen_id,app,tab,name,journey,services,wave,type,notes
SCR-SHR-001,مشترك,-,شاشة الترحيب,JRN-FAT-01,S-ADM-001,1,مدخل,ثلاث شرائح تعريفية + زر بدء
SCR-SHR-002,مشترك,-,إنشاء حساب,JRN-FAT-01,S-ADM-001,1,نموذج,بريد + كلمة مرور — لا OTP
SCR-SHR-003,مشترك,-,تسجيل الدخول,JRN-FAT-01;JRN-MOT-01,S-ADM-001,1,نموذج,مع استعادة كلمة المرور
SCR-FAT-001,الوالدان,-,إنشاء العائلة,JRN-FAT-01,S-ADM-002;S-ADM-008,1,نموذج,اسم العائلة + عدد الأبناء
SCR-FAT-002,الوالدان,-,معالج الإعداد,JRN-FAT-02;JRN-FAT-03,S-ADM-002;S-ADM-005;S-ADM-007,1,معالج,خطوات متدرجة قابلة للتأجيل
SCR-FAT-003,الوالدان,-,إضافة ابن,JRN-FAT-02,S-ADM-002;S-ADM-012,1,نموذج,اسم + عمر + صورة
SCR-FAT-004,الوالدان,-,رمز الربط QR,JRN-FAT-02,S-ADM-003;S-ADM-014,1,عرض,رمز متغير بمهلة
SCR-FAT-005,الوالدان,-,شرح الصلاحيات,JRN-FAT-02,S-ADM-004,1,تعليمي,فيديو عربي قصير
SCR-FAT-006,الوالدان,-,نجاح الربط,JRN-FAT-02,S-ADM-005;S-SEC-019,1,تأكيد,أول قيمة — موقع الابن الآن
SCR-FAT-007,الوالدان,-,وضع التجربة,JRN-FAT-03,S-ADM-006,1,عرض,بيانات تجريبية موسومة بوضوح
SCR-FAT-008,الوالدان,-,دعوة الأم (من لوحة الأب),JRN-FAT-04,S-ADM-009;S-ADM-010,1,نموذج,من الإعدادات لا من الإعداد الأول · الأب يحدد مستوى الصلاحية
SCR-FAT-009,الوالدان,-,قبول دعوة الأم,JRN-MOT-01,S-ADM-011,1,تأكيد,الأم تدخل عبر SCR-SHR-007 ثم تسجل دخولها — لا تختار دورها
SCR-FAT-010,الوالدان,اليوم,لوحة اليوم,JRN-FAT-05;JRN-MOT-02,S-ADM-036;S-ADM-038;S-ADM-037;S-ADM-039,1,لوحة,الشاشة الرئيسية — بطاقة لكل ابن
