service_id,domain,domain_ar,subsystem_letter,subsystem,local_ref,name,priority,status,legacy_id,wave,screens
S-SEC-001,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-1,حد يومي للشاشة,P0,موجودة,S-PAR-001,2,
S-SEC-002,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-2,جداول ذكية,P0,موجودة,S-PAR-003,2,
S-SEC-003,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-3,جدول وقت النوم,P0,موجودة,S-PAR-006,2,
S-SEC-004,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-4,طلب وقت إضافي,P0,موجودة,S-PAR-009,2,
S-SEC-005,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-5,مكافأة وقت بالإنجاز,P0,موجودة,S-PAR-004,2,
S-SEC-006,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-6,حد لكل تطبيق على حدة,P0,جديدة,,2,
S-SEC-007,SEC,الأمن والرعاية,أ,إدارة وقت الشاشة,أ-7,وقت التعليم لا يُحتسب,P0,جديدة,,2,
S-SEC-008,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-1,حظر/سماح تطبيق,P0,موجودة,S-PAR-015,2,
S-SEC-009,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-2,قواعد فئات التطبيقات,P0,موجودة,S-PAR-016,2,
S-SEC-010,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-3,موافقة على التطبيقات الجديدة,P0,موجودة,S-PAR-053,2,
S-SEC-011,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-4,تنبيه تثبيت تطبيق,P0,جديدة,,2,
S-SEC-012,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-5,تنبيهات الألعاب,P1,موجودة,S-PAR-051,2,
S-SEC-013,SEC,الأمن والرعاية,ب,التحكم بالتطبيقات,ب-6,بطاقة معلومات التطبيق,P1,جديدة,,2,
S-SEC-014,SEC,الأمن والرعاية,ج,فلترة الإنترنت,ج-1,فلترة ٢٩ فئة,P0,موجودة,S-PAR-017,2,
S-SEC-015,SEC,الأمن والرعاية,ج,فلترة الإنترنت,ج-2,استثناءات,P0,موجودة,S-PAR-018,2,
S-SEC-016,SEC,الأمن والرعاية,ج,فلترة الإنترنت,ج-3,فرض البحث الآمن,P0,جديدة,,2,
S-SEC-017,SEC,الأمن والرعاية,ج,فلترة الإنترنت,ج-4,حجب التصفح الخفي,P0,موجودة,S-PAR-019,2,
S-SEC-018,SEC,الأمن والرعاية,ج,فلترة الإنترنت,ج-5,فلترة الراوتر,P2,موجودة,S-PAR-037,3,
S-SEC-019,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-1,تتبع لحظي,P0,موجودة,S-PAR-011,1,
S-SEC-020,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-2,سجل المواقع,P0,موجودة,S-PAR-012,1,
S-SEC-021,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-3,مناطق آمنة,P0,موجودة,S-PAR-014,1,
S-SEC-022,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-4,تنبيه وصول/مغادرة,P0,موجودة,S-PAR-032,1,
S-SEC-023,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-5,الأماكن المتكررة,P1,موجودة,S-PAR-013,1,
S-SEC-024,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-6,تنبيه عدم الوصول,P0,جديدة,,1,
S-SEC-025,SEC,الأمن والرعاية,د,الموقع والمناطق الآمنة,د-7,مستوى البطارية,P0,جديدة,,1,
S-SEC-026,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-1,زر الاستغاثة,P0,موجودة,S-COM-039,1,
S-SEC-027,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-2,بث الموقع اللحظي,P0,موجودة,S-COM-035,1,
S-SEC-028,SEC,الأمن والرعاية,هـ,الطوارئ والاستغاثة,هـ-3,اتصال تلقائي بالأب,P0,جديدة,,1,
